Model,Accuracy,Precision,Recall,F1,ROC AUC
Random Forest,0.9994889507630493,0.9230769230769231,0.7578947368421053,0.8323699421965318,0.9687131457706417
XGBoost,0.9990836358509851,0.6972477064220184,0.8,0.7450980392156863,0.9661931921116271
Logistic Regression,0.9737250202657456,0.05313700384122919,0.8736842105263158,0.10018105009052504,0.9618504434817429
